dataset,fe_algorithm,clustering_algorithm,normalization,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,average_score,fe_n_components,fe_n_neighbors,fe_method,clust_n_clusters
Sim1,mlle,kmeans,,0.08172396258359081,0.283980118627343,0.34865134865134867,-0.03995033519255102,651.6968862043733,12.347579526587248,0.07491995069278926,0.14986500907250416,2,5,modified,17
Sim1,mlle,kmeans,,0.09452079147830819,0.25230249249745584,0.3414918414918415,-0.012683712576453855,442.7508380023878,41.247336215936464,0.023670131411096678,0.13986030886044964,2,10,modified,17
Sim1,mlle,kmeans,,0.10035233025521068,0.285801552857785,0.3339160839160839,-0.07259662927870872,578.8380167757916,18.975199178423875,0.050062079034493216,0.13950708335697282,2,20,modified,17
Sim1,mlle,kmeans,,0.6024402260571169,0.8261365603947667,0.7275224775224776,0.16053224210611947,2241.8245794008785,1.2521059835303472,0.4440288367035125,0.5521320685567986,2,30,modified,17
Sim1,mlle,kmeans,minmax,0.4983889855359006,0.755779880664148,0.6536796536796536,0.11692026718695699,849.0706916789733,2.164030187502068,0.3160526103543525,0.46816427948420236,2,5,modified,17
Sim1,mlle,kmeans,minmax,0.5077948589803649,0.7673938119901251,0.677988677988678,0.0999739351749374,888.2641012316426,2.3670826994401146,0.2969930023299642,0.4700288572928139,2,10,modified,17
Sim1,mlle,kmeans,minmax,0.6135460643691603,0.7736277263975443,0.7255244755244755,0.10809956436845229,1015.4332112828414,2.866480047795779,0.2586331721975611,0.49588620057143873,2,20,modified,17
Sim1,mlle,kmeans,minmax,0.5003905135352433,0.7446392766932866,0.6739094239094239,0.11819383495131339,935.0749047894893,2.9270042190219545,0.25464703988758547,0.45835601779537055,2,30,modified,17
Sim1,mlle,kmeans,standard,0.10584939928360042,0.40819177001021517,0.41150516150516153,0.09515814879892166,404.48286766749453,2.0056228792508057,0.3327097377729784,0.2706828434741754,2,5,modified,17
Sim1,mlle,kmeans,standard,0.22012607258257183,0.5658417690499372,0.46761571761571763,0.1136115729656136,514.8113286928904,3.199096376127638,0.2381464749618796,0.32106832143514397,2,10,modified,17
Sim1,mlle,kmeans,standard,0.21786787962861934,0.5712225454373671,0.48484848484848486,0.09093162801708311,531.737447835204,3.2161644092569865,0.23718240156963655,0.32041058790023813,2,20,modified,17
Sim1,mlle,kmeans,standard,0.19716581197899125,0.5601476464779779,0.487012987012987,0.05889931094482469,550.171359947367,3.0628501882761574,0.2461326294741608,0.3098716771777883,2,30,modified,17
Sim1,mlle,kmeans,robust,0.22028655395743943,0.5692167384440615,0.4831002331002331,0.08862182351289564,722.6134506960843,1.7537239492490653,0.3631446065146428,0.34487399110585454,2,5,modified,17
Sim1,mlle,kmeans,robust,0.22649520480573423,0.6025741436599926,0.526973026973027,0.08460541844099896,801.9316961806014,3.2399693633639997,0.23585076077214814,0.3352997109303802,2,10,modified,17
Sim1,mlle,kmeans,robust,0.2240434336210807,0.5755662794687509,0.4836829836829837,0.11303362036425235,734.625226274421,2.1581427270913274,0.31664180070829395,0.3425936235690723,2,20,modified,17
Sim1,mlle,kmeans,robust,0.2105750171432538,0.5752161046222566,0.4845987345987346,0.08235244757523366,762.6218507132354,2.5366180778282934,0.28275600531173645,0.32709966185024303,2,30,modified,17
