dataset,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
Sim1,0.7159361807137246,0.882251906884916,0.918997668997669,0.23090851652248862,3781.028239551461,1.6043421360159915,0.3839741277349052
Sim2,0.6682417386946036,0.8440667294318375,0.8993272841051314,0.18742265685084047,2695.84452108115,2.0732068554393526,0.3253930005492708
Sim3,0.5503938036615178,0.8015146678245807,0.8436994718120082,0.20478587075017168,3435.308263373778,2.2246313914504463,0.31011296443101294
Sim4,0.8966043143001245,0.8498100719481516,0.9358299200312074,0.24396733620324246,1808.812879665342,1.5163825610630624,0.39739585525403714
Sim5,0.8231358159280039,0.8428450752524732,0.887906106480694,0.1531504466501135,2545.2689629760425,2.3962985781539645,0.2944381882182877
Sim6,0.6966550559891983,0.8410677622691828,0.8567641861378362,0.19577262721346111,2746.8568365758233,2.0354546799218425,0.3294399374876347
Sim7,0.6534648673130243,0.8335723109130595,0.8092720908636332,0.16670470118208808,3052.3064701648436,2.280589987675424,0.3048232189200165
Sim8,0.35029007043546684,0.5281317386716453,0.9524899828277046,0.1519834838608316,896.6757336973847,1.9121516585307308,0.34338870953737705
Sim9,0.6340696485514616,0.8136774954848507,0.8473136140037053,0.16844261419146228,2858.089602467542,2.015982516090258,0.3315669088481127
Sim10,0.5368004447074969,0.8257969679676844,0.7499504917816358,0.2004021378328739,3410.155776619137,2.091037231952825,0.32351599963363425
Sim11,0.807703120507471,0.8783518358738734,0.893872647176612,0.23437710071292972,5166.683345940253,1.6064153806858579,0.383668699705439
